Label_clean,Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Field Code: SPSS,Domain,Level,Helper,Column_category
GEN\LVL_OF_EDUCATION\<PARENT/GUARDIAN_B>,"What is the highest level of education completed by the child’s <parents/guardians>?
<Parent/Guardian B>",ASBH16B,ASBLH13B,HQ-16b,HQ-13b,Home,GEN\LVL OF EDUCATION\<PARENT/GUARDIAN B> (2023),✓,✓,✓,"1: Did not go to school; 2: Some <Primary education—ISCED Level 1 or Lower secondary education—ISCED Level 2>; 3: <Lower secondary education—ISCED Level 2>; 4: <Upper secondary education—ISCED Level 3>; 5: <Post-secondary, non-tertiary education—ISCED Level 4>; 6: <Short-cycle tertiary education—ISCED Level 5>; 7: <Bachelor’s or equivalent level—ISCED Level 6>; 8: <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>; 9: Not applicable",99: Omitted or invalid; Sysmis: Not administered,"1: Did not go to school; 2: Some <Primary education—ISCED Level 1 or Lower secondary education—ISCED Level 2>; 3: <Lower secondary education—ISCED Level 2>; 4: <Upper secondary education—ISCED Level 3>; 5: <Post-secondary, non-tertiary education—ISCED Level 4>; 6: <Short-cycle tertiary education—ISCED Level 5>; 7: <Bachelor’s or equivalent level—ISCED Level 6>; 8: <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>; 9: Not applicable; 99: Omitted or invalid; Sysmis: Not administered",Background Questionnaire Variables,Ordinal,GEN\LVL OF EDUCATION\<PARENT/GUARDIAN B>,Background Questionnaire Variables
GEN\LVL_OF_EDUCATION\CHILD,How far in his/her education do you expect your child to go?,ASBH17,ASBLH14,,HQ-17,Home,GEN\LVL OF EDUCATION\CHILD (2023),✓,✓,✓,"1: Finish <Lower secondary education—ISCED Level 2>; 2: Finish <Upper secondary education—ISCED Level 3>; 3: Finish <Post-secondary, non-tertiary education—ISCED Level 4>; 4: Finish <Short-cycle tertiary education —ISCED Level 5>; 5: Finish <Bachelor’s or equivalent level—ISCED Level 6>; 6: Finish <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>",9: Omitted or invalid; Sysmis: Not administered,"1: Finish <Lower secondary education—ISCED Level 2>; 2: Finish <Upper secondary education—ISCED Level 3>; 3: Finish <Post-secondary, non-tertiary education—ISCED Level 4>; 4: Finish <Short-cycle tertiary education —ISCED Level 5>; 5: Finish <Bachelor’s or equivalent level—ISCED Level 6>; 6: Finish <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>; 9: Omitted or invalid; Sysmis: Not administered",Background Questionnaire Variables,Ordinal,GEN\LVL OF EDUCATION\CHILD,Background Questionnaire Variables
GEN\MAJOR_AREA_OF_STUDY\<LANGUAGE_TEST>,"During your <post-secondary> education, what was your major or main area(s) of study? <language of test>",ATBG05AE,ATBLG05AE,TQG-05Ae,TQG-05Ae,Teacher,GEN\MAJOR AREA OF STUDY\<LANGUAGE TEST> (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\MAJOR_AREA_OF_STUDY\EDUCATION_PRIM,"During your <post-secondary> education, what was your major or main area(s) of study?
Education—Primary/Elementary",ATBG05AA,ATBLG05AA,TQG-05Aa,TQG-05Aa,Teacher,GEN\MAJOR AREA OF STUDY\EDUCATION PRIM (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\MAJOR_AREA_OF_STUDY\EDUCATION_SECOND,"During your <post-secondary> education, what was your major or main area(s) of study? Education—Secondary",ATBG05AB,ATBLG05AB,TQG-05Ab,TQG-05Ab,Teacher,GEN\MAJOR AREA OF STUDY\EDUCATION SECOND (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\MAJOR_AREA_OF_STUDY\MATHEMATICS,"During your <post-secondary> education, what was your major or main area(s) of study? Mathematics",ATBG05AC,ATBLG05AC,TQG-05Ac,TQG-05Ac,Teacher,GEN\MAJOR AREA OF STUDY\MATHEMATICS (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\MAJOR_AREA_OF_STUDY\OTHER,"During your <post-secondary> education, what was your major or main area(s) of study? Other",ATBG05AF,ATBLG05AF,TQG-05Af,TQG-05Af,Teacher,GEN\MAJOR AREA OF STUDY\OTHER (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\MAJOR_AREA_OF_STUDY\SCIENCE,"During your <post-secondary> education, what was your major or main area(s) of study? Science",ATBG05AD,ATBLG05AD,TQG-05Ad,TQG-05Ad,Teacher,GEN\MAJOR AREA OF STUDY\SCIENCE (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
GEN\NUM_INITIATED_MEETINGS,How often have you or someone else in your home initiated a meeting with your child's teacher in the past year?,,ASBLH03,,,Home,GEN\NUM INITIATED MEETINGS (2024),,✓,,1: More than 5 times; 2: 3 to 5 times; 3: Once or twice; 4: Never,9: Omitted or invalid; Sysmis: Not administered,1: More than 5 times; 2: 3 to 5 times; 3: Once or twice; 4: Never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\NUM INITIATED MEETINGS,Background Questionnaire Variables
GEN\NUM_PARENT_TCH_MEETINGS_ATTENDED,Please estimate how many of the parent-teacher meetings scheduled by your child's school that you or someone else in your home have attended over the past school year.,,ASBLH02,,,Home,GEN\NUM PARENT TCH MEETINGS ATTENDED (2024),,✓,,1: All meetings; 2: Most of the meetings; 3: About half of the meetings; 4: Fewer than half of the meetings; 5: No meetings,9: Omitted or invalid; Sysmis: Not administered,1: All meetings; 2: Most of the meetings; 3: About half of the meetings; 4: Fewer than half of the meetings; 5: No meetings; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\NUM PARENT TCH MEETINGS ATTENDED,Background Questionnaire Variables
GEN\NUMBER_OF_STUDENTS_IN_<4TH_GRADE>,How many of the students in #G10A are in <fourth grade>?,ATBG10B,ATBLG08B,TQG-10B,TQG-08B,Teacher,GEN\NUMBER OF STUDENTS IN <4TH GRADE> (2023),✓,✓,✓,,999: Omitted or invalid; Sysmis: Not administered,999: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ratio,,
GEN\NUMBER_OF_STUDENTS_IN_THE_CLASS,How many students are in this class?,ATBG10A,ATBLG08A,TQG-10A,TQG-08A,Teacher,GEN\NUMBER OF STUDENTS IN THE CLASS (2023),✓,✓,✓,,999: Omitted or invalid; Sysmis: Not administered,999: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ratio,,
GEN\OFTEN_SPEAK_<LANG_OF_TEST>_AT_HOME,How often do you speak <language of test> at home?,ASBG03,ASBLG03,SQG-03,SQG-03,Student,GEN\OFTEN SPEAK <LANG OF TEST> AT HOME (2023),✓,✓,✓,1: I always speak <language of test> at home; 2: I almost always speak <language of test> at home; 3: I sometimes speak <language of test> and sometimes speak another language at home; 4: I never speak <language of test> at home,9: Omitted or invalid; Sysmis: Not administered,1: I always speak <language of test> at home; 2: I almost always speak <language of test> at home; 3: I sometimes speak <language of test> and sometimes speak another language at home; 4: I never speak <language of test> at home; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\ONLINE_LEARNING_MANAGEMENT_SYSTEM,"Does your school use an online learning management system to support learning (e.g., teacher-student communication, management of grades, student access to course materials)?",ACBG09,ACBLG08,ScQ-09,ScQ-08,School,GEN\ONLINE LEARNING MANAGEMENT SYSTEM (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\ONLINE LEARNING MANAGEMENT SYSTEM,Background Questionnaire Variables
GEN\PAST_ACTIVITY\CREATIVE_ACTIVITY,"How often have you or someone else in your home done the following with your child over the past school year? Done creative activities (e.g., <crafts, drawings>)",,ASBLH05C,,,Home,GEN\PAST ACTIVITY\CREATIVE ACTIVITY (2024),,✓,,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never,9: Omitted or invalid; Sysmis: Not administered,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST ACTIVITY\CREATIVE ACTIVITY,Background Questionnaire Variables
GEN\PAST_ACTIVITY\DISCUSS_CHILDS_DAY,How often have you or someone else in your home done the following with your child over the past school year? Talked about your child's school day,,ASBLH05A,,,Home,GEN\PAST ACTIVITY\DISCUSS CHILDS DAY (2024),,✓,,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never,9: Omitted or invalid; Sysmis: Not administered,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST ACTIVITY\DISCUSS CHILDS DAY,Background Questionnaire Variables
GEN\PAST_ACTIVITY\PRACTICED_SKILLS,"How often have you or someone else in your home done the following with your child over the past school year? Practiced reading, math, or other skills",,ASBLH05B,,,Home,GEN\PAST ACTIVITY\PRACTICED SKILLS (2024),,✓,,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never,9: Omitted or invalid; Sysmis: Not administered,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST ACTIVITY\PRACTICED SKILLS,Background Questionnaire Variables
GEN\PAST_ACTIVITY\VISIT_TO_MUSEUM_OR_LIBRARY,"How often have you or someone else in your home done the following with your child over the past school year? Taken your child to places where they have opportunities to learn (e.g., <museum, library>)",,ASBLH05D,,,Home,GEN\PAST ACTIVITY\VISIT TO MUSEUM OR LIBRARY (2024),,✓,,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never,9: Omitted or invalid; Sysmis: Not administered,1: Every day or almost every day; 2: Once or twice a week; 3: Once or twice a month; 4: Never or almost never; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST ACTIVITY\VISIT TO MUSEUM OR LIBRARY,Background Questionnaire Variables
GEN\PAST_YR\ATTENDED_EVENT,"Have you or someone else in your home done the following over the past school year? Attended a school or class event (e.g., concert, play)",,ASBLH04B,,,Home,GEN\PAST YR\ATTENDED EVENT (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST YR\ATTENDED EVENT,Background Questionnaire Variables
GEN\PAST_YR\CONTACTED_REP,"Have you or someone else in your home done the following over the past school year? Contacted a representative about decision-making at the school (e.g., <elected parent representative, school board>)",,ASBLH04C,,,Home,GEN\PAST YR\CONTACTED REP (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST YR\CONTACTED REP,Background Questionnaire Variables
GEN\PAST_YR\ORGANIZED_EVENT,"Have you or someone else in your home done the following over the past school year? Helped with organizing school or class events (e.g., field trips, celebrations)",,ASBLH04A,,,Home,GEN\PAST YR\ORGANIZED EVENT (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST YR\ORGANIZED EVENT,Background Questionnaire Variables
GEN\PAST_YR\SPOKEN_WITH_OTHER_PARENTS,Have you or someone else in your home done the following over the past school year? Spoken with other parents about the school,,ASBLH04D,,,Home,GEN\PAST YR\SPOKEN WITH OTHER PARENTS (2024),,✓,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\PAST YR\SPOKEN WITH OTHER PARENTS,Background Questionnaire Variables
GEN\PERCENT_OF_STUDENTS_<LANG_OF_TEST>,Approximately what percentage of students in your school have <language of test> as their native language?,ACBG04,ACBLG03,ScQ-04,ScQ-03,School,GEN\PERCENT OF STUDENTS <LANG OF TEST> (2023),✓,✓,✓,1: More than 90%; 2: 76 to 90%; 3: 51 to 75%; 4: 26 to 50%; 5: 25% or less,9: Omitted or invalid; Sysmis: Not administered,1: More than 90%; 2: 76 to 90%; 3: 51 to 75%; 4: 26 to 50%; 5: 25% or less; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\PRIMARY_SCHOOL\COUNT_UP_TO_100,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Count up to 100 or higher,ACBG16G,,ScQ-16g,,School,GEN\PRIMARY SCHOOL\COUNT UP TO 100 (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\COUNT UP TO 100,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\DO_SIMPLE_ADDITION,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Do simple addition,ACBG16K,,ScQ-16k,,School,GEN\PRIMARY SCHOOL\DO SIMPLE ADDITION (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\DO SIMPLE ADDITION,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\DO_SIMPLE_SUBTRACTION,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Do simple subtraction,ACBG16L,,ScQ-16l,,School,GEN\PRIMARY SCHOOL\DO SIMPLE SUBTRACTION (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\DO SIMPLE SUBTRACTION,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\NUMBERS_HIGHER_THAN,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Recognize written numbers higher than 10,ACBG16I,,ScQ-16i,,School,GEN\PRIMARY SCHOOL\NUMBERS HIGHER THAN (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\NUMBERS HIGHER THAN,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\READ_SENTENCES,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Read sentences,ACBG16C,,ScQ-16c,,School,GEN\PRIMARY SCHOOL\READ SENTENCES (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\READ SENTENCES,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\READ_WORDS,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Read some words,ACBG16B,,ScQ-16b,,School,GEN\PRIMARY SCHOOL\READ WORDS (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\READ WORDS,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\RECOGNIZE_LETTERS,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Recognize most of the letters of the alphabet,ACBG16A,,ScQ-16a,,School,GEN\PRIMARY SCHOOL\RECOGNIZE LETTERS (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\RECOGNIZE LETTERS,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\RECOGNIZE_NUMBERS_FROM,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Recognize written numbers from 1-10,ACBG16H,,ScQ-16h,,School,GEN\PRIMARY SCHOOL\RECOGNIZE NUMBERS FROM (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\RECOGNIZE NUMBERS FROM,Background Questionnaire Variables
GEN\PRIMARY_SCHOOL\WRITE_LETTERS,About how many of the students in your school can do the following when they begin the <first grade> of primary/elementary school? Write letters of the alphabet,ACBG16D,,ScQ-16d,,School,GEN\PRIMARY SCHOOL\WRITE LETTERS (2023),✓,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\PRIMARY SCHOOL\WRITE LETTERS,Background Questionnaire Variables
